model,problem_type,problem_name,parallelism_model,response_time,total_tokens,prompt_tokens,source_write_success,did_build,is_source_valid,did_any_run,did_all_run,are_any_valid,are_all_valid,best_runtime,avg_runtime,speedup_2proc,speedup_4proc,num_successful_runs
Gemini Flash,histogram,24_histogram_count_quartile,serial,,,,True,True,True,True,True,True,True,0.1020578836,0.1020578836,,,1
Gemini Flash,histogram,22_histogram_count_quadrants,mpi,,,,True,True,True,True,True,True,True,0.01564415,0.0275756833333333,1.7235924856782092,2.713640562127057,3
Gemini Flash,histogram,22_histogram_count_quadrants,serial,,,,True,True,True,True,True,True,True,0.0399396332,0.0399396332,,,1
Gemini Flash,histogram,23_histogram_first_letter_counts,mpi,,,,True,True,True,True,True,True,True,0.0025372,0.0030664333333333,1.3075404385023033,1.4878606337695095,3
Gemini Flash,histogram,23_histogram_first_letter_counts,serial,,,,True,True,True,True,True,True,True,0.0036584752,0.0036584752,,,1
Gemini Flash,histogram,21_histogram_bin_0-100,mpi,,,,True,True,True,True,True,True,True,0.0026161,0.0037275,1.5701770177017702,2.0004586980620007,3
Gemini Flash,histogram,21_histogram_bin_0-100,serial,,,,True,True,True,True,True,True,True,0.004223992,0.004223992,,,1
Gemini Flash,search,39_search_xor_contains,mpi,,,,True,True,True,True,True,True,True,1.79e-05,2.14e-05,1.11731843575419,0.7604562737642586,3
Gemini Flash,search,39_search_xor_contains,serial,,,,True,True,True,True,True,True,True,2.70832e-05,2.70832e-05,,,1
Gemini Flash,search,37_search_find_the_closest_number_to_pi,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,search,37_search_find_the_closest_number_to_pi,serial,,,,True,True,True,True,True,True,True,8.4e-09,8.4e-09,,,1
Gemini Flash,search,38_search_find_the_first_even_number,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,search,38_search_find_the_first_even_number,serial,,,,True,True,True,True,True,True,True,1.68e-08,1.68e-08,,,1
Gemini Flash,search,35_search_search_for_last_struct_by_key,mpi,,,,True,True,True,True,True,True,True,0.0013946,0.0026537833333333,0.6544345377756922,0.3144000450882038,3
Gemini Flash,search,35_search_search_for_last_struct_by_key,serial,,,,True,True,True,True,True,True,True,2.48e-08,2.48e-08,,,1
Gemini Flash,search,36_search_check_if_array_contains_value,mpi,,,,True,True,True,True,True,True,True,0.0003095,0.0003990666666666,1.8106623586429724,1.7121906507791016,3
Gemini Flash,search,36_search_check_if_array_contains_value,serial,,,,True,True,True,True,True,True,True,0.0007728414,0.0007728414,,,1
Gemini Flash,fft,05_fft_inverse_fft,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,fft,05_fft_inverse_fft,serial,,,,True,True,True,True,True,True,True,0.0074473502,0.0074473502,,,1
Gemini Flash,fft,08_fft_split_fft,mpi,,,,True,True,True,False,False,False,False,,,,,0
Gemini Flash,fft,08_fft_split_fft,serial,,,,True,True,True,True,True,True,True,0.0230608834,0.0230608834,,,1
Gemini Flash,fft,07_fft_fft_conjugate,mpi,,,,True,True,True,True,True,False,False,,,,,0
Gemini Flash,fft,07_fft_fft_conjugate,serial,,,,True,True,True,False,False,False,False,,,,,0
Gemini Flash,fft,09_fft_fft_out_of_place,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,fft,09_fft_fft_out_of_place,serial,,,,True,True,True,True,True,True,True,0.0056050418,0.0056050418,,,1
Gemini Flash,fft,06_fft_dft,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,fft,06_fft_dft,serial,,,,True,True,True,True,True,False,False,,,,,0
Gemini Flash,scan,33_scan_reverse_prefix_sum,mpi,,,,True,True,True,True,True,True,True,0.0061242,0.007507,1.3362724927337448,0.9963960453903472,3
Gemini Flash,scan,33_scan_reverse_prefix_sum,serial,,,,True,True,True,True,True,True,True,0.0021776164,0.0021776164,,,1
Gemini Flash,scan,30_scan_prefix_sum,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,scan,30_scan_prefix_sum,serial,,,,True,True,True,True,True,True,True,0.0118828834,0.0118828834,,,1
Gemini Flash,scan,34_scan_largest_contiguous_subarray_sum,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,scan,34_scan_largest_contiguous_subarray_sum,serial,,,,True,True,True,True,True,True,True,1.68e-08,1.68e-08,,,1
Gemini Flash,scan,32_scan_sum_of_prefix_sum_array,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,scan,32_scan_sum_of_prefix_sum_array,serial,,,,True,True,True,True,True,True,True,0.0057856162,0.0057856162,,,1
Gemini Flash,scan,31_scan_scan_with_min_function,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,scan,31_scan_scan_with_min_function,serial,,,,True,True,True,True,True,True,True,0.0071444334,0.0071444334,,,1
Gemini Flash,graph,17_graph_highest_degree,mpi,,,,True,True,True,True,True,True,True,0.0020251,0.0023325333333333,1.0002815881572065,1.2278899807416916,3
Gemini Flash,graph,17_graph_highest_degree,serial,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,graph,16_graph_largest_component,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,graph,16_graph_largest_component,serial,,,,True,True,True,True,True,True,True,0.092783825,0.092783825,,,1
Gemini Flash,graph,19_graph_shortest_path,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,graph,19_graph_shortest_path,serial,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,graph,15_graph_edge_count,mpi,,,,True,True,True,True,True,True,True,0.0049752,0.0062478333333333,1.6879136325478787,1.7378195851423055,3
Gemini Flash,graph,15_graph_edge_count,serial,,,,True,True,True,True,True,True,True,3.32e-08,3.32e-08,,,1
Gemini Flash,graph,18_graph_count_components,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Flash,graph,18_graph_count_components,serial,,,,True,True,True,True,True,True,True,0.0942387416,0.0942387416,,,1
Gemini Pro,geometry,13_geometry_closest_pair_2d,mpi,,,,True,True,True,True,True,True,True,0.021433,0.0403336333333333,1.92658258357117,3.058181309196099,3
Gemini Pro,geometry,13_geometry_closest_pair_2d,serial,,,,True,True,True,True,True,True,True,1.66e-08,1.66e-08,,,1
Gemini Pro,geometry,11_geometry_convex_hull_perimeter,mpi,,,,True,True,True,True,True,False,False,,,,,0
Gemini Pro,geometry,11_geometry_convex_hull_perimeter,serial,,,,True,True,True,True,True,False,False,,,,,0
Gemini Pro,geometry,12_geometry_smallest_triangle,mpi,,,,True,True,True,True,True,True,True,0.0010439,0.0013617833333333,1.8289108152121851,1.6862000441598586,3
Gemini Pro,geometry,12_geometry_smallest_triangle,serial,,,,True,True,True,True,True,True,True,4.12e-08,4.12e-08,,,1
Gemini Pro,geometry,14_geometry_closest_pair_1d,mpi,,,,True,True,True,True,True,True,True,0.05193795,0.1054321166666666,1.9337819781507604,3.3549649148647567,3
Gemini Pro,geometry,14_geometry_closest_pair_1d,serial,,,,True,True,True,True,True,True,True,0.0008233086,0.0008233086,,,1
Gemini Pro,geometry,10_geometry_convex_hull,mpi,,,,True,True,True,True,True,False,False,,,,,0
Gemini Pro,geometry,10_geometry_convex_hull,serial,,,,True,True,True,True,True,False,False,,,,,0
Gemini Pro,transform,59_transform_map_function,mpi,,,,True,True,True,True,True,True,True,0.0020236,0.0034560333333333,1.7338400550404611,2.61524016604072,3
Gemini Pro,transform,59_transform_map_function,serial,,,,True,True,True,True,True,True,True,0.0045707918,0.0045707918,,,1
Gemini Pro,transform,57_transform_inverse_offset,mpi,,,,True,True,True,True,True,True,True,0.002616,0.0060373333333333,0.4973667699678689,0.2555610914099821,3
Gemini Pro,transform,57_transform_inverse_offset,serial,,,,True,True,True,True,True,True,True,0.0003832248,0.0003832248,,,1
Gemini Pro,transform,55_transform_relu,mpi,,,,True,True,True,True,True,True,True,0.0187519,0.0207399,1.160565062740309,1.0026629808799816,3
Gemini Pro,transform,55_transform_relu,serial,,,,True,True,True,True,True,True,True,0.018022067,0.018022067,,,1
Gemini Pro,transform,56_transform_negate_odds,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Pro,transform,56_transform_negate_odds,serial,,,,True,True,True,True,True,True,True,0.0025358252,0.0025358252,,,1
Gemini Pro,transform,58_transform_squaring,mpi,,,,True,True,True,True,True,True,True,0.0003664,0.0006926333333333,0.4482505505260582,0.4097975617939828,3
Gemini Pro,transform,58_transform_squaring,serial,,,,True,True,True,True,True,True,True,0.0003883084,0.0003883084,,,1
Gemini Pro,reduce,26_reduce_product_of_inverses,mpi,,,,True,True,True,True,True,True,False,0.0111535,0.0140679,,,2
Gemini Pro,reduce,26_reduce_product_of_inverses,serial,,,,True,True,True,True,True,False,False,,,,,0
Gemini Pro,reduce,27_reduce_average,mpi,,,,True,True,True,True,True,True,True,0.00577355,0.0104415833333333,2.0023500658018425,2.9515289553221153,3
Gemini Pro,reduce,27_reduce_average,serial,,,,True,True,True,True,True,True,True,0.0166888998,0.0166888998,,,1
Gemini Pro,reduce,28_reduce_smallest_odd_number,mpi,,,,True,True,True,True,True,True,True,0.01954355,0.0356480166666666,1.918028572477873,2.939517129692405,3
Gemini Pro,reduce,28_reduce_smallest_odd_number,serial,,,,True,True,True,True,True,True,True,0.02228925,0.02228925,,,1
Gemini Pro,reduce,25_reduce_xor,mpi,,,,True,True,True,True,True,True,True,0.0032591,0.0044784833333333,1.878555429413028,1.5102307625895732,3
Gemini Pro,reduce,25_reduce_xor,serial,,,,True,True,True,True,True,True,True,0.0207285084,0.0207285084,,,1
Gemini Pro,reduce,29_reduce_sum_of_min_of_pairs,mpi,,,,True,True,True,True,True,True,True,0.0096636,0.0152071999999999,1.8086013493936008,0.945737105257462,3
Gemini Pro,reduce,29_reduce_sum_of_min_of_pairs,serial,,,,True,True,True,True,True,True,True,5e-08,5e-08,,,1
Gemini Pro,dense_la,00_dense_la_lu_decomp,mpi,,,,True,True,True,True,True,True,True,0.0503951,0.0662578333333333,1.554399060725734,1.7916622846268784,3
Gemini Pro,dense_la,00_dense_la_lu_decomp,serial,,,,True,True,True,True,True,False,False,,,,,0
Gemini Pro,dense_la,04_dense_la_gemv,mpi,,,,True,True,True,True,True,True,True,0.01151025,0.02120345,1.942860047786081,2.9883104189743928,3
Gemini Pro,dense_la,04_dense_la_gemv,serial,,,,True,True,True,True,True,True,True,0.0341483002,0.0341483002,,,1
Gemini Pro,dense_la,02_dense_la_gemm,mpi,,,,True,True,True,True,True,True,True,0.00662925,0.0095800166666666,1.6811369258379008,2.091337632462194,3
Gemini Pro,dense_la,02_dense_la_gemm,serial,,,,True,True,True,True,True,True,True,0.0036800416,0.0036800416,,,1
Gemini Pro,dense_la,01_dense_la_solve,mpi,,,,True,True,True,True,True,True,True,0.5008172,0.6279262666666666,0.9370828833319488,0.5902252254163373,3
Gemini Pro,dense_la,01_dense_la_solve,serial,,,,True,True,True,True,True,True,True,0.107284,0.107284,,,1
Gemini Pro,dense_la,03_dense_la_axpy,mpi,,,,True,True,True,True,True,True,True,0.0256113,0.0292046666666666,1.1795176445361522,1.3101560639249084,3
Gemini Pro,dense_la,03_dense_la_axpy,serial,,,,True,True,True,True,True,True,True,0.0075474002,0.0075474002,,,1
Gemini Pro,sort,41_sort_k-th_smallest_element,mpi,,,,True,False,True,False,False,False,False,,,,,0
Gemini Pro,sort,41_sort_k-th_smallest_element,serial,,,,True,True,True,True,True,False,False,,,,,0
Gemini Pro,sort,43_sort_sort_an_array_of_structs_by_key,mpi,,,,True,True,True,True,True,True,False,0.0032376,0.0032376,,,1
Gemini Pro,sort,43_sort_sort_an_array_of_structs_by_key,serial,,,,True,True,True,True,True,True,True,0.0027275666,0.0027275666,,,1
Gemini Pro,sort,44_sort_sort_non-zero_elements,mpi,,,,True,True,True,True,True,True,True,0.0012795,0.0015499166666666,1.4213364595545137,1.172042664260626,3
Gemini Pro,sort,44_sort_sort_non-zero_elements,serial,,,,True,True,True,True,True,True,True,0.0015037166,0.0015037166,,,1
Gemini Pro,sort,40_sort_sort_an_array_of_complex_numbers_by_magnitude,mpi,,,,True,True,True,True,True,True,True,0.0090942,0.0161190333333333,1.7975190418171845,2.774075784565987,3
Gemini Pro,sort,40_sort_sort_an_array_of_complex_numbers_by_magnitude,serial,,,,True,True,True,True,True,True,True,0.0129601418,0.0129601418,,,1
