model,performance_metric,runtime,model_type
H2looP v0.1-Coder,413.7947680086068,2.4166569452110624,H2looP
H2looP v0.1-Coder,548.0083882746881,1.8247895860651535,H2looP
H2looP v0.1-Coder,364.3553023789591,2.744573753890149,H2looP
H2looP v0.1-Coder,842.1613031364699,1.187420980132535,H2looP
H2looP v0.1-Coder,1341.6322926891569,0.7453607113135359,H2looP
H2looP v0.1-Coder,2191.2981077157256,0.45635050588458265,H2looP
H2looP v0.1-Coder,831.374041787347,1.2028280289460673,H2looP
H2looP v0.1-Coder,386.16630546811757,2.5895578817726794,H2looP
H2looP v0.1-Coder,4779.113786492693,0.20924381478974624,H2looP
H2looP v0.1-Coder,8559.50205364036,0.11682922601492915,H2looP
H2looP v0.1-Coder,991.1233258237403,1.0089561752256029,H2looP
H2looP v0.1-Coder,1201.4228350606943,0.8323464236048762,H2looP
H2looP v0.1-Coder,2051.79875963318,0.487377231955623,H2looP
H2looP v0.1-Coder,1589.637104021956,0.6290743953257574,H2looP
H2looP v0.1-Coder,1582.6452020351908,0.6318535567631062,H2looP
H2looP v0.1-Coder,3018.1372977600327,0.331330188571,H2looP
H2looP v0.1-Coder,3615.496155897129,0.2765872115142287,H2looP
H2looP v0.1-Coder,3407.0377058808144,0.2935101065285898,H2looP
H2looP v0.1-Coder,24014.544247546542,0.04164143152965168,H2looP
H2looP v0.1-Coder,3434.9164785442777,0.2911278938647735,H2looP
H2looP v0.1-Coder,4101.182797155326,0.24383209660725752,H2looP
H2looP v0.1-Coder,1122.5247269177232,0.890848972873714,H2looP
H2looP v0.1-Coder,3326.835924642896,0.3005859088489134,H2looP
H2looP v0.1-Coder,2088.463392714767,0.4788209376751932,H2looP
H2looP v0.1-Coder,6805.25283631365,0.14694531181323336,H2looP
H2looP v0.1-Coder,4336.285566975971,0.2306121182644753,H2looP
H2looP v0.1-Coder,9588.043592275915,0.10429656377507457,H2looP
H2looP v0.1-Coder,4633.276604434178,0.2158299806756565,H2looP
H2looP v0.1-Multimodal,538.9954549574127,1.855303214159779,H2looP
H2looP v0.1-Multimodal,710.556529397875,1.4073475629692673,H2looP
H2looP v0.1-Multimodal,1268.083407943579,0.7885916602455011,H2looP
H2looP v0.1-Multimodal,1499.295041962148,0.6669801286685283,H2looP
H2looP v0.1-Multimodal,2926.6702552803845,0.34168523023588687,H2looP
H2looP v0.1-Multimodal,1487.9448447037132,0.6720679221138233,H2looP
H2looP v0.1-Multimodal,1533.2483005872007,0.6522100820963062,H2looP
H2looP v0.1-Multimodal,2313.042432530408,0.43233102252517963,H2looP
H2looP v0.1-Multimodal,2183.070915553155,0.4580703232659834,H2looP
H2looP v0.1-Multimodal,619.7960095660139,1.6134340727688905,H2looP
H2looP v0.1-Multimodal,1672.5140544194642,0.5979023000479979,H2looP
H2looP v0.1-Multimodal,742.3767434388393,1.3470249557762244,H2looP
H2looP v0.1-Multimodal,2557.3663965107426,0.39102726983681135,H2looP
H2looP v0.1-Multimodal,526.0797744075314,1.90085239662786,H2looP
H2looP v0.1-Multimodal,3431.6290746744594,0.29140678617628996,H2looP
H2looP v0.1-Multimodal,1784.3269879309826,0.5604353948373277,H2looP
H2looP v0.1-Multimodal,1222.650284998402,0.817895364087129,H2looP
H2looP v0.1-Multimodal,1667.017122982112,0.5998738622499024,H2looP
H2looP v0.1-Multimodal,1221.3945168618125,0.8187362774227511,H2looP
H2looP v0.1-Multimodal,1838.4274112429746,0.5439431515677263,H2looP
H2looP v0.1-Multimodal,1595.6266990828844,0.6267130028438157,H2looP
H2looP v0.1-Multimodal,2234.8907361527627,0.4474491677930721,H2looP
H2looP v0.1-Multimodal,2043.604165196193,0.4893315530622813,H2looP
H2looP v0.1-Multimodal,2044.814774766834,0.4890418498242844,H2looP
H2looP v0.1-Multimodal,644.8531434862758,1.5507406765417786,H2looP
H2looP v0.1-Multimodal,3131.7476602005577,0.31931052833802065,H2looP
H2looP v0.1-Multimodal,738.4699928206604,1.3541511635163392,H2looP
H2looP v0.1-Multimodal,717.0234090963002,1.3946546058521982,H2looP
H2looP v0.1-Multimodal,843.1771981275956,1.185990325901428,H2looP
H2looP v0.1-Multimodal,554.1040342303617,1.8047152488051779,H2looP
H2looP v0.1-Multimodal,565.8955329790593,1.7671106091537294,H2looP
H2looP v0.1-Multimodal,1058.700346144884,0.9445543336614242,H2looP
H2looP v0.1-Multimodal,1060.234279015813,0.9431877649987636,H2looP
H2looP v0.1-Multimodal,776.9363373929938,1.2871067446214388,H2looP
H2looP v0.1-Multimodal,814.021758350052,1.2284683913448566,H2looP
H2looP v0.1-Multimodal,2125.3327873806993,0.47051454997427444,H2looP
H2looP v0.1-Multimodal,2461.7880756553513,0.4062088080972569,H2looP
H2looP v0.1-Multimodal,1189.4215453572747,0.8407448174310842,H2looP
H2looP v0.1-Multimodal,1057.2525578243565,0.9458477944549292,H2looP
H2looP v0.1-Multimodal,3270.39125462779,0.30577381179849444,H2looP
H2looP v0.1-Multimodal,3992.73053868002,0.2504551685400227,H2looP
H2looP v0.1-Multimodal,2045.6720379166557,0.48883691103213966,H2looP
