model,weighted_performance,functional_passes,runtime,model_type
Mistral NeMo 12B,5.706888710211907,1,0.1752268268716367,Similar-sized
Mistral NeMo 12B,0.0,0,0.2527305298751889,Similar-sized
Mistral NeMo 12B,0.0,0,0.19972920543725076,Similar-sized
Mistral NeMo 12B,0.0,0,0.16278869161633794,Similar-sized
Mistral NeMo 12B,0.0,0,0.08848627177819966,Similar-sized
Deepseek Coder V2-lite,0.0,0,1.1723162352719436,Similar-sized
Deepseek Coder V2-lite,0.0,0,1.0201384860281548,Similar-sized
Deepseek Coder V2-lite,0.0,0,1.210784528445199,Similar-sized
Deepseek Coder V2-lite,2.4979303027718336,1,0.4003314259370439,Similar-sized
Deepseek Coder V2-lite,2.015699376063398,1,0.4961057248293497,Similar-sized
Deepseek Coder V2-lite,1.6686204888897145,1,0.5992974475972013,Similar-sized
Deepseek Coder V2-lite,0.0,0,1.3372828347172114,Similar-sized
Deepseek Coder V2-lite,1.331174258092856,1,0.7512164496274725,Similar-sized
Deepseek Coder V2-lite,0.0,0,0.812449106479162,Similar-sized
Deepseek Coder V2-lite,0.0,0,1.8666856478402778,Similar-sized
Deepseek Coder V2-lite,2.771581325357158,1,0.3608048556436047,Similar-sized
Deepseek Coder V2-lite,1.865548143428379,1,0.5360354829343976,Similar-sized
Deepseek Coder V2-lite,2.0398831944120643,1,0.4902241475096913,Similar-sized
Deepseek Coder V2-lite,0.0,0,0.7080772927821551,Similar-sized
Deepseek Coder V2-lite,3.709309580027542,1,0.2695919492361635,Similar-sized
Deepseek Coder V2-lite,0.7168055795723388,1,1.395078426421598,Similar-sized
Deepseek Coder V2-lite,0.0,0,0.7312424148805267,Similar-sized
Deepseek Coder V2-lite,1.5645182259107144,1,0.6391744010638768,Similar-sized
Deepseek Coder V2-lite,2.092509384098709,1,0.4778951089056752,Similar-sized
Deepseek Coder V2-lite,0.0,0,0.4821897094024353,Similar-sized
Deepseek Coder V2-lite,1.7393653342862248,1,0.574922346840013,Similar-sized
Deepseek Coder V2-lite,0.0,0,0.5241355534675585,Similar-sized
Deepseek Coder V2-lite,3.058161438103219,1,0.32699385570051387,Similar-sized
Deepseek Coder V2-lite,0.0,0,0.8360927438901452,Similar-sized
Deepseek Coder V2-lite,3.80513833774432,1,0.262802534688607,Similar-sized
